GaugeID,mean_severe_prob,event_count,lat,lon,risk_category,confidence
INDOFLOODS-gauge-1010,0.64388996,4,26.46,89.86,High,Low
INDOFLOODS-gauge-1012,0.39651862,1,26.47,89.79,Medium,Low
INDOFLOODS-gauge-1013,0.39882922,9,26.3253,89.2356,Medium,High
INDOFLOODS-gauge-1018,0.4030207,10,26.3325,88.8636,Medium,High
INDOFLOODS-gauge-1020,0.7697351,3,22.8381,87.9031,Very High,Low
INDOFLOODS-gauge-1042,0.42286277,2,26.3253,89.2356,Medium,Low
INDOFLOODS-gauge-1050,0.7655685,41,26.3089,89.6756,Very High,High
INDOFLOODS-gauge-1056,0.76432824,18,23.65,88.14,Very High,High
INDOFLOODS-gauge-1059,0.32996374,84,26.5628,88.7583,Medium,High
INDOFLOODS-gauge-1074,0.65726876,1,24.0031,88.1375,High,Low
INDOFLOODS-gauge-1076,0.7288001,10,24.0911,88.2431,High,High
INDOFLOODS-gauge-1084,0.48550022,2,23.3553,88.6061,Medium,Low
INDOFLOODS-gauge-1085,0.78248316,22,22.8381,87.9031,Very High,High
INDOFLOODS-gauge-1086,0.7109937,19,26.7292,89.3236,High,High
INDOFLOODS-gauge-1095,0.7910529,10,23.6167,87.7008,Very High,High
INDOFLOODS-gauge-1100,0.7532342,6,23.649999999999995,88.14,Very High,High
INDOFLOODS-gauge-130,0.63509,123,19.1081,82.0228,High,High
INDOFLOODS-gauge-162,0.59127843,4,20.2703,72.9869,High,Low
INDOFLOODS-gauge-175,0.55986184,3,23.054199999999998,73.7167,High,Low
INDOFLOODS-gauge-180,0.44477606,1,21.2,72.82,Medium,Low
INDOFLOODS-gauge-19,0.60029346,1,16.9383,81.7825,High,Low
INDOFLOODS-gauge-196,0.7823263,18,21.885,73.6544,Very High,High
INDOFLOODS-gauge-208,0.59160674,22,20.2028,73.2811,High,High
INDOFLOODS-gauge-243,0.4662734,3,23.3064,73.8261,Medium,Low
INDOFLOODS-gauge-29,0.28647003,127,15.9483,77.4264,Medium,High
INDOFLOODS-gauge-294,0.58167756,1,20.2028,73.2811,High,Low
INDOFLOODS-gauge-308,0.7320975,20,22.8156,86.2161,High,High
INDOFLOODS-gauge-31,0.56550395,2,17.5731,81.25,High,Low
INDOFLOODS-gauge-318,0.28044924,12,13.5811,74.8536,Medium,High
INDOFLOODS-gauge-319,0.7661389,33,12.5172,77.4369,Very High,High
INDOFLOODS-gauge-32,0.30852705,65,15.883300000000002,77.9572,Medium,High
INDOFLOODS-gauge-324,0.27577162,14,13.9269,75.585,Medium,High
INDOFLOODS-gauge-329,0.5985063,1,17.1703,76.3283,High,Low
INDOFLOODS-gauge-338,0.5140449,8,16.3822,77.3572,High,High
INDOFLOODS-gauge-345,0.6223963,1,17.2864,75.6372,High,Low
INDOFLOODS-gauge-346,0.23817009,15,13.5214,74.87999999999998,Low,High
INDOFLOODS-gauge-349,0.18460986,169,14.434399999999998,74.5861,Low,High
INDOFLOODS-gauge-355,0.20487419,31,12.9528,75.7856,Low,High
INDOFLOODS-gauge-361,0.82160956,219,12.4167,77.1925,Very High,High
INDOFLOODS-gauge-363,0.48115325,16,17.2031,77.1572,Medium,High
INDOFLOODS-gauge-364,0.3537215,175,12.8844,75.0431,Medium,High
INDOFLOODS-gauge-367,0.21514945,1,13.7,75.64,Low,Low
INDOFLOODS-gauge-369,0.2334528,35,14.8306,75.6744,Low,High
INDOFLOODS-gauge-370,0.25632718,24,14.03,75.29,Medium,High
INDOFLOODS-gauge-372,0.18300396,73,12.9303,74.9531,Low,High
INDOFLOODS-gauge-376,0.5984588,4,16.4911,76.9231,High,Low
INDOFLOODS-gauge-388,0.58155274,18,16.1833,76.1833,High,High
INDOFLOODS-gauge-391,0.4479282,10,16.7375,77.1253,Medium,High
INDOFLOODS-gauge-394,0.16195036,419,12.18,77.73,Low,High
INDOFLOODS-gauge-395,0.5269938,9,16.5639,74.5275,High,High
INDOFLOODS-gauge-396,0.18041876,131,13.2942,74.9808,Low,High
INDOFLOODS-gauge-397,0.54769665,78,16.19,74.7914,High,High
INDOFLOODS-gauge-399,0.5194381,1,11.32,76.2,High,Low
INDOFLOODS-gauge-403,0.47951588,10,11.625,75.7844,Medium,High
INDOFLOODS-gauge-404,0.50915444,1,11.26,76.24,High,Low
INDOFLOODS-gauge-406,0.28801674,2,11.13,76.68,Medium,Low
INDOFLOODS-gauge-407,0.30566704,6,12.4792,75.1472,Medium,High
INDOFLOODS-gauge-411,0.5312842,4,9.845,76.4667,High,Low
INDOFLOODS-gauge-412,0.4145792,25,9.9906,76.6322,Medium,High
INDOFLOODS-gauge-414,0.51680815,7,11.0569,76.0394,High,High
INDOFLOODS-gauge-415,0.46366104,5,11.2394,76.0233,Medium,High
INDOFLOODS-gauge-417,0.44916496,35,10.85,76.02,Medium,High
INDOFLOODS-gauge-420,0.4585954,13,10.1833,76.5,Medium,High
INDOFLOODS-gauge-421,0.4806929,2,10.43,76.24,Medium,Low
INDOFLOODS-gauge-422,0.4526162,2,9.03,76.92,Medium,Low
INDOFLOODS-gauge-423,0.51224,11,8.715,76.85,High,High
INDOFLOODS-gauge-426,0.48349738,1,9.53,76.91,Medium,Low
INDOFLOODS-gauge-427,0.46670267,135,9.4036,76.6503,Medium,High
INDOFLOODS-gauge-428,0.46049,25,9.6756,76.6056,Medium,High
INDOFLOODS-gauge-429,0.42380148,155,9.22,76.71,Medium,High
INDOFLOODS-gauge-430,0.5036883,4,10.2814,76.3153,High,Low
INDOFLOODS-gauge-431,0.549027,17,10.8992,76.1972,High,High
INDOFLOODS-gauge-434,0.5151043,1,9.36,76.84,High,Low
INDOFLOODS-gauge-438,0.479759,19,9.3325,76.6631,Medium,High
INDOFLOODS-gauge-440,0.4570503,46,9.0728,76.7611,Medium,High
INDOFLOODS-gauge-441,0.5372616,1,11.9814,75.5875,High,Low
INDOFLOODS-gauge-445,0.50270885,1,10.04,76.62,High,Low
INDOFLOODS-gauge-446,0.50795525,2,10.78,76.575,High,Low
INDOFLOODS-gauge-472,0.8145999,57,22.7561,77.7328,Very High,High
