GaugeID,mean_severe_prob,event_count,lat,lon,risk_category,confidence
INDOFLOODS-gauge-1010,0.25219083,4,26.46,89.86,Medium,Low
INDOFLOODS-gauge-1012,0.0130495,1,26.47,89.79,Low,Low
INDOFLOODS-gauge-1013,0.5018092,9,26.3253,89.2356,High,High
INDOFLOODS-gauge-1018,0.060512386,10,26.3325,88.8636,Low,High
INDOFLOODS-gauge-1020,0.3461516,3,22.8381,87.9031,Medium,Low
INDOFLOODS-gauge-1042,0.5068629,2,26.3253,89.2356,High,Low
INDOFLOODS-gauge-1050,0.78426594,41,26.3089,89.6756,Very High,High
INDOFLOODS-gauge-1056,0.7809341,18,23.65,88.14,Very High,High
INDOFLOODS-gauge-1059,0.15060157,84,26.5628,88.7583,Low,High
INDOFLOODS-gauge-1074,0.99329776,1,24.0031,88.1375,Very High,Low
INDOFLOODS-gauge-1076,0.99876153,10,24.0911,88.2431,Very High,High
INDOFLOODS-gauge-1084,0.50534666,2,23.3553,88.6061,High,Low
INDOFLOODS-gauge-1085,0.90858006,22,22.8381,87.9031,Very High,High
INDOFLOODS-gauge-1086,0.5831304,19,26.7292,89.3236,High,High
INDOFLOODS-gauge-1095,0.7040609,10,23.6167,87.7008,High,High
INDOFLOODS-gauge-1100,0.5009796,6,23.649999999999995,88.14,High,High
INDOFLOODS-gauge-130,0.5071346,123,19.1081,82.0228,High,High
INDOFLOODS-gauge-162,0.05397526,4,20.2703,72.9869,Low,Low
INDOFLOODS-gauge-175,0.40431002,3,23.054199999999998,73.7167,Medium,Low
INDOFLOODS-gauge-180,0.034108736,1,21.2,72.82,Low,Low
INDOFLOODS-gauge-19,0.06703962,1,16.9383,81.7825,Low,Low
INDOFLOODS-gauge-196,0.7811032,18,21.885,73.6544,Very High,High
INDOFLOODS-gauge-208,0.56211436,22,20.2028,73.2811,High,High
INDOFLOODS-gauge-243,0.5678293,3,23.3064,73.8261,High,Low
INDOFLOODS-gauge-29,0.19975118,127,15.9483,77.4264,Low,High
INDOFLOODS-gauge-294,0.663603,1,20.2028,73.2811,High,Low
INDOFLOODS-gauge-308,0.5045533,20,22.8156,86.2161,High,High
INDOFLOODS-gauge-31,0.029751308,2,17.5731,81.25,Low,Low
INDOFLOODS-gauge-318,0.20051037,12,13.5811,74.8536,Low,High
INDOFLOODS-gauge-319,0.73096377,33,12.5172,77.4369,High,High
INDOFLOODS-gauge-32,0.10923376,65,15.883300000000002,77.9572,Low,High
INDOFLOODS-gauge-324,0.34891662,14,13.9269,75.585,Medium,High
INDOFLOODS-gauge-329,0.6347256,1,17.1703,76.3283,High,Low
INDOFLOODS-gauge-338,0.37795007,8,16.3822,77.3572,Medium,High
INDOFLOODS-gauge-345,0.99338114,1,17.2864,75.6372,Very High,Low
