T1d,rain_day2,Precipitation of Coldest Quarter,T2d,rain_day3,T9d,Mean Diurnal Range,rain_accel,rain_frontload,T3d,month,T10d,T5d,T4d,T8d,T6d,T7d,Secondorder Streams  Mean Length,Source Catchment Area,Mean Temperature of Warmest Quarter,FirstSecond Bifurcation Ratio,Road Density,2010_GDP_PC_PPP,Min Temperature of Coldest Month,Precipitation of Wettest Quarter,Sinuosity Index,Temperature Seasonality,Catchment Relief,ThirdForth Stream Length Ratio,Mean Temperature of Driest Quarter,Precipitation of Driest Quarter,gauge_flood_count,Fitness Ratio,FirstSecond Stream Length Ratio,2015_GDP_PPP,Relief Ratio,Form Factor,Annual Precipitation,Area variation (%),Precipitation of Wettest Month
-0.34144443,0.01040199,0.14949042,-0.037506524,0.036273275,0.094518594,-0.4088417,-8.311907e-05,-0.015594667,-0.021797225,0.0015537437,0.0010825976,-0.015362775,-0.01087344,0.0015290416,0.0011718204,0.0047486876,0.057007585,0.00042718335,0.029467717,-0.14884108,-0.06580167,-0.018619346,0.11071783,0.008190264,-0.021108216,-0.041005637,0.012887768,-0.015620282,0.016285809,0.14586417,0.0058899554,0.0034398497,-0.01750293,0.004411086,-0.0020277686,0.014801023,-0.028787691,-0.015694084,-0.05690913
-0.34144443,0.01040199,0.14949042,-0.037506524,0.036273275,0.094518594,-0.4088417,-8.311907e-05,-0.015594667,-0.021797225,0.0015537437,0.0010825976,-0.015362775,-0.01087344,0.0015290416,0.0011718204,0.0047486876,0.057007585,0.00042718335,0.029467717,-0.14884108,-0.06580167,-0.018619346,0.11071783,0.008190264,-0.021108216,-0.041005637,0.012887768,-0.015620282,0.016285809,0.14586417,0.0058899554,0.0034398497,-0.01750293,0.004411086,-0.0020277686,0.014801023,-0.028787691,-0.015694084,-0.05690913
-0.34144443,0.01040199,0.14949042,-0.037506524,0.036273275,0.094518594,-0.4088417,-8.311907e-05,-0.015594667,-0.021797225,0.0015537437,0.0010825976,-0.015362775,-0.01087344,0.0015290416,0.0011718204,0.0047486876,0.057007585,0.00042718335,0.029467717,-0.14884108,-0.06580167,-0.018619346,0.11071783,0.008190264,-0.021108216,-0.041005637,0.012887768,-0.015620282,0.016285809,0.14586417,0.0058899554,0.0034398497,-0.01750293,0.004411086,-0.0020277686,0.014801023,-0.028787691,-0.015694084,-0.05690913
-0.3416663,0.01040199,0.15002474,-0.037506524,0.036273275,0.09442038,-0.40760073,-8.311907e-05,-0.015594667,-0.021797225,-0.0015762334,0.0010825976,-0.015384695,-0.01087344,0.0015290416,0.0011718204,0.0047959615,0.057024337,0.00042718335,0.029463354,-0.14884108,-0.06580167,-0.018619346,0.11071783,0.008190264,-0.021108216,-0.03976775,0.012887768,-0.015620282,0.016285809,0.14586417,0.006047711,0.0034398497,-0.017534383,0.004411086,-0.0020277686,0.014801023,-0.028787691,-0.015694084,-0.05663623
-0.3416663,0.01040199,0.15002474,-0.037506524,0.036273275,0.09442038,-0.40760073,-8.311907e-05,-0.015594667,-0.021797225,-0.0015762334,0.0010825976,-0.015384695,-0.01087344,0.0015290416,0.0011718204,0.0047959615,0.057024337,0.00042718335,0.029463354,-0.14884108,-0.06580167,-0.018619346,0.11071783,0.008190264,-0.021108216,-0.03976775,0.012887768,-0.015620282,0.016285809,0.14586417,0.006047711,0.0034398497,-0.017534383,0.004411086,-0.0020277686,0.014801023,-0.028787691,-0.015694084,-0.05663623
-0.004107189,0.0052693766,0.121343024,-0.0006004512,-0.009137214,-0.0052851224,-0.49648964,0.000179029,-0.044301968,-0.007714921,0.0020182102,-0.00102506,0.0038611176,-1.3994169e-05,-0.0023048974,0.0034567504,0.0033066615,-0.016634477,-0.0034028431,0.026212627,0.054566078,-0.123005435,0.032999713,0.119083375,-0.09354894,-0.007757958,0.083739154,-0.022426588,0.03135793,0.019094504,0.080649704,-0.0039867675,-0.008695418,-0.014453593,-0.0070929406,-0.0012942762,0.016209891,-0.03524946,0.0027538685,-0.092851155
0.2610617,-0.002605318,0.10662165,0.0089758895,0.0029631248,-0.0063507995,-0.51668155,0.0001615178,-0.044525936,-0.0074560638,0.0018573971,-0.0036264309,0.0042006974,0.0006187943,0.0014734258,-0.0008236896,-0.006321654,-0.012421097,-0.00014661677,0.023227558,0.045701154,-0.11706252,0.03988833,0.09159042,-0.09485802,-0.002992417,0.067882,-0.022426588,0.03022674,0.012350486,0.08941722,-0.016458983,-0.0012478917,-0.009830124,-0.0070929406,-0.0012942762,0.016209891,-0.031304546,0.0027538685,-0.092473626
0.0009831958,-0.0070665814,0.11817909,0.0073658233,-0.00791796,-0.0018073828,-0.48844334,0.00027111795,-0.0056700194,-0.007457337,0.00032939453,-0.0031017547,0.0038391973,0.00017852488,0.0012603874,-0.0003517548,-0.013681402,-0.012065148,-0.0032262872,0.022531955,0.052549623,-0.123005435,0.03211199,0.11091523,-0.09485802,-0.007757958,0.079446316,-0.022426588,0.03022674,0.016201904,0.07329136,-0.010518593,-0.008695418,-0.008768594,-0.0070929406,-0.0012942762,0.016089618,-0.03476274,0.0027538685,-0.0894817
-0.32664362,0.009335914,0.13716914,-0.04166634,0.019633913,0.10377065,-0.53730595,-0.001222813,-0.034657516,-0.035801433,0.0022598733,0.0011442631,-0.007159687,-0.025233468,0.026570003,0.0033283592,0.0052678715,-0.042497464,0.00053217576,0.025145145,0.07248129,-0.12182438,0.03477341,0.118150346,-0.01611846,-0.008612564,0.12188211,-0.018347805,0.033064485,0.019094504,0.047294095,0.0040090494,0.0071469964,-0.046114527,-0.010105632,-0.0012942762,0.016209891,-0.03247784,0.0016941492,-0.09140639
-0.32664362,0.009335914,0.13716914,-0.04166634,0.019633913,0.10377065,-0.53730595,-0.001222813,-0.034657516,-0.035801433,0.0022598733,0.0011442631,-0.007159687,-0.025233468,0.026570003,0.0033283592,0.0052678715,-0.042497464,0.00053217576,0.025145145,0.07248129,-0.12182438,0.03477341,0.118150346,-0.01611846,-0.008612564,0.12188211,-0.018347805,0.033064485,0.019094504,0.047294095,0.0040090494,0.0071469964,-0.046114527,-0.010105632,-0.0012942762,0.016209891,-0.03247784,0.0016941492,-0.09140639
-0.3268655,0.009335914,0.13716914,-0.04166634,0.019633913,0.10367244,-0.53606504,-0.001222813,-0.034657516,-0.035801433,9.321088e-05,0.0011442631,-0.0071816077,-0.025233468,0.026570003,0.0033283592,0.005315145,-0.04248071,0.00053217576,0.025144035,0.07248129,-0.12182438,0.03477341,0.118150346,-0.01611846,-0.008612564,0.12262219,-0.018347805,0.033064485,0.019094504,0.047294095,0.0041668047,0.0071469964,-0.046080425,-0.010105632,-0.0012942762,0.016209891,-0.03247784,0.0016941492,-0.0911335
-0.3268655,0.009335914,0.13770346,-0.04166634,0.019633913,0.10367244,-0.53606504,-0.001222813,-0.034657516,-0.035801433,-0.0040504276,0.0011442631,-0.0071816077,-0.025233468,0.026570003,0.0033283592,0.005315145,-0.04248071,0.00053217576,0.025140783,0.07248129,-0.12182438,0.03477341,0.118150346,-0.01611846,-0.008612564,0.11993968,-0.018347805,0.033064485,0.019094504,0.047294095,0.0041668047,0.0071469964,-0.046983626,-0.010105632,-0.0012942762,0.016209891,-0.03247784,0.0016941492,-0.0911335
0.055065893,-0.03692858,0.15381,-0.0046996255,-0.008353989,-0.019776747,0.27280703,-0.00035501568,-0.008564287,-0.0021563354,0.006489654,-0.01090867,0.0041558896,0.005140868,-0.007203089,0.0019158332,0.00078979955,0.044369962,-0.043578986,0.043294635,0.10257798,-0.09456838,0.032038935,0.17437129,0.031424012,-0.057212003,0.3617349,0.0071664294,0.04112791,0.04321669,0.00053398975,0.015974162,0.00548593,0.017237559,-0.003907974,-0.0021308875,0.02452762,-0.031995386,-0.0039783632,-0.006459326
0.036811188,-0.032496057,0.15391934,-0.012854141,-0.021879569,-0.019776747,0.27414596,-0.00035501568,-0.008572648,-0.0021563354,0.006489654,-0.01090867,0.0041558896,0.0043672305,-0.00303351,-0.0008706377,-0.015996646,0.0404135,-0.038868908,0.038785066,0.108807996,-0.099452265,0.032038935,0.17794713,0.031424012,-0.04118744,0.37569395,0.0071664294,0.03455926,0.04321669,0.0017432313,0.015974162,0.007858083,0.018264985,-0.003907974,-0.0021308875,0.02452762,-0.03215618,-0.0039783632,-0.005550088
-0.06457553,0.043923013,0.15432255,-0.007205027,-0.0010200958,-0.010072393,0.2738027,0.0026707705,0.0005257027,-0.0021485914,-0.009024934,0.0025423442,0.004133969,0.0039700833,-0.0071793385,0.0019158332,0.0011335558,0.051098786,-0.038868908,0.04317092,0.108585246,-0.098682866,0.032038935,0.182382,0.022880493,-0.04118744,0.4655138,0.0071664294,0.057153434,0.05595401,0.0017432313,0.008478545,0.007858083,0.03278515,-0.004197736,-0.0021308875,0.02452762,-0.033091057,-0.003175225,-0.008853809
-0.25155926,0.030965524,0.16765326,-0.024015151,0.026189314,0.053175136,0.32695886,0.0018056192,-0.054743357,-0.012367801,0.01575504,0.0032121188,-0.008307999,-0.008147988,0.031779476,0.002827417,0.008473063,0.07536109,-0.032241307,0.04104238,0.12768014,-0.09904604,0.03343313,0.18655263,-0.001561316,-0.03786633,0.47804058,0.0064302073,0.05642499,0.05595401,-9.086344e-05,0.00964948,0.0067099207,0.078357354,-0.006920666,-0.0021308875,0.024647892,-0.030623164,-0.010608452,-0.014738061
-0.25155926,0.030965524,0.16765326,-0.024015151,0.026189314,0.053175136,0.32695886,0.0018056192,-0.054743357,-0.012367801,0.01575504,0.0032121188,-0.008307999,-0.008147988,0.031779476,0.002827417,0.008473063,0.07536109,-0.032241307,0.04104238,0.12768014,-0.09904604,0.03343313,0.18655263,-0.001561316,-0.03786633,0.47804058,0.0064302073,0.05642499,0.05595401,-9.086344e-05,0.00964948,0.0067099207,0.078357354,-0.006920666,-0.0021308875,0.024647892,-0.030623164,-0.010608452,-0.014738061
-0.25155926,0.030965524,0.16765326,-0.024015151,0.026189314,0.053175136,0.32695886,0.0018056192,-0.054743357,-0.012367801,0.01575504,0.0032121188,-0.008307999,-0.008147988,0.031779476,0.002827417,0.008473063,0.07536109,-0.032241307,0.04104238,0.12768014,-0.09904604,0.03343313,0.18655263,-0.001561316,-0.03786633,0.47804058,0.0064302073,0.05642499,0.05595401,-9.086344e-05,0.00964948,0.0067099207,0.078357354,-0.006920666,-0.0021308875,0.024647892,-0.030623164,-0.010608452,-0.014738061
-0.25155926,0.030965524,0.16765326,-0.024015151,0.026189314,0.053175136,0.32695886,0.0018056192,-0.054743357,-0.012367801,0.01575504,0.0032121188,-0.008307999,-0.008147988,0.031779476,0.002827417,0.008473063,0.07536109,-0.032241307,0.04104238,0.12768014,-0.09904604,0.03343313,0.18655263,-0.001561316,-0.03786633,0.47804058,0.0064302073,0.05642499,0.05595401,-9.086344e-05,0.00964948,0.0067099207,0.078357354,-0.006920666,-0.0021308875,0.024647892,-0.030623164,-0.010608452,-0.014738061
-0.25155926,0.030965524,0.16765326,-0.024015151,0.026189314,0.053175136,0.32695886,0.0018056192,-0.054743357,-0.012367801,0.01575504,0.0032121188,-0.008307999,-0.008147988,0.031779476,0.002827417,0.008473063,0.07536109,-0.032241307,0.04104238,0.12768014,-0.09904604,0.03343313,0.18655263,-0.001561316,-0.03786633,0.47804058,0.0064302073,0.05642499,0.05595401,-9.086344e-05,0.00964948,0.0067099207,0.078357354,-0.006920666,-0.0021308875,0.024647892,-0.030623164,-0.010608452,-0.014738061
-0.25155926,0.030965524,0.16765326,-0.024015151,0.026189314,0.053175136,0.32695886,0.0018056192,-0.054743357,-0.012367801,0.01575504,0.0032121188,-0.008307999,-0.008147988,0.031779476,0.002827417,0.008473063,0.07536109,-0.032241307,0.04104238,0.12768014,-0.09904604,0.03343313,0.18655263,-0.001561316,-0.03786633,0.47804058,0.0064302073,0.05642499,0.05595401,-9.086344e-05,0.00964948,0.0067099207,0.078357354,-0.006920666,-0.0021308875,0.024647892,-0.030623164,-0.010608452,-0.014738061
-0.25327882,0.030965524,0.16818757,-0.024015151,0.026189314,0.0492993,0.32819983,0.0018056192,-0.054743357,-0.012367801,-0.009130177,0.0032121188,-0.00832992,-0.008147988,0.031779476,0.002827417,0.008520337,0.076044075,-0.032241307,0.041038018,0.12768014,-0.09904604,0.03343313,0.18655263,-0.001561316,-0.03786633,0.4575246,0.0064302073,0.05642499,0.05595401,-9.086344e-05,0.008519375,0.0067099207,0.081384584,-0.006920666,-0.0021308875,0.024647892,-0.030623164,-0.010608452,-0.014465162
-0.25327882,0.030965524,0.16818757,-0.024015151,0.026189314,0.0492993,0.32819983,0.0018056192,-0.054743357,-0.012367801,-0.009130177,0.0032121188,-0.00832992,-0.008147988,0.031779476,0.002827417,0.008520337,0.076044075,-0.032241307,0.041038018,0.12768014,-0.09904604,0.03343313,0.18655263,-0.001561316,-0.03786633,0.4575246,0.0064302073,0.05642499,0.05595401,-9.086344e-05,0.008519375,0.0067099207,0.081384584,-0.006920666,-0.0021308875,0.024647892,-0.030623164,-0.010608452,-0.014465162
-0.22850741,-0.006611729,0.117123954,0.001499352,-0.0055987984,-0.0059088804,-0.54638636,-0.00016227872,-0.039515987,-0.007457337,0.0020566108,-0.0075835213,0.0038611176,0.00015697966,0.0009125621,-0.0025052736,-0.013242364,-0.013882147,0.0009561636,0.022842338,-0.032813743,-0.119243756,-0.009354904,0.08652959,-0.069496,0.018453576,0.10810457,-0.022426588,0.03208761,0.018369203,0.06636295,-0.0053616827,-0.010054318,-0.008732564,-0.011306226,-0.0012942762,-0.0012469774,-0.06390611,0.010691675,-0.07772774
-0.049177006,-0.0030593136,0.11717812,0.0018723388,-0.0021880106,-0.0012059975,-0.5101499,-0.0005860179,0.023576636,-0.0076290215,0.0001806287,0.001575265,0.0038391973,-3.5539386e-05,-0.0027799646,0.0043126233,0.0045183003,-0.016531745,-0.0035213192,0.02659206,-0.012033071,-0.12281796,-0.010081728,0.08562336,-0.07301184,0.018533912,0.11476668,-0.022426588,0.033218794,0.018369203,0.07141808,-0.002225857,-0.009537492,-0.0098204585,-0.011306226,-0.0012942762,-0.0013672502,-0.060849164,0.011376964,-0.07565597
-0.22370623,-0.0014447664,0.11699288,0.0008947006,-0.0023669805,-0.005603461,-0.5405016,0.0026085014,-0.03641591,0.0037126807,0.00014165117,-0.0049821506,0.0038391973,-3.5539386e-05,-0.002900888,0.00016937677,0.0033539352,-0.017749464,0.0007796077,0.026533745,-0.031197183,-0.12028924,-0.009354904,0.08717026,-0.069496,0.018453576,0.11974857,-0.019084483,0.033218794,0.018369203,0.06636295,-0.005494886,-0.010054318,-0.007908425,-0.011306226,-0.0012942762,-0.0012469774,-0.06349924,0.010691675,-0.080551416
